DC,Dd,ID,iz,izL,wlp,wlpL
0.011680681622139037,0.011766041476327926,27.0,64,65,0,0
-0.06401160754837365,-0.06449196570751381,27.0,72,64,0,0
0.46668914751137086,0.5585328430706679,27.0,73,72,1,0
-0.2453485662884121,-0.3356548635801504,27.0,55,73,0,1
-0.2333828071332304,-0.26146120295515585,27.0,73,55,0,0
-0.2895611956270532,-0.29246022948068257,27.0,54,73,0,0
1.0687665778505009,1.1722880886954765,27.0,73,54,1,0
-0.6470858735427888,-0.7506860584017553,27.0,65,73,0,1
0.5010203809296357,0.6037568698428407,27.0,54,65,1,0
0.005617921611305143,0.005689508567977564,28.0,27,38,0,0
0.06822917132406092,0.06906685265389811,28.0,28,27,0,0
-0.013779018909699847,-0.013943560760090623,28.0,45,28,0,0
0.0670396408664728,0.06781905580059688,28.0,46,45,0,0
0.007151352637526587,0.0072314185848164625,28.0,28,46,0,0
-0.13411705362605075,-0.13571944629412092,28.0,45,28,0,0
0.001023255171059112,0.001036322583041538,28.0,28,45,0,0
0.005273706266664846,0.005340839455002522,28.0,36,28,0,0
0.016869859441777657,0.01708221730248738,28.0,37,36,0,0
0.010064581303789621,0.010189557494470702,28.0,27,37,0,0
0.008245992313607009,0.008347441515678233,28.0,36,27,0,0
0.005641525852405127,0.0057104464455677295,28.0,36,36,0,0
0.015726292794691066,0.01591635093721877,28.0,46,36,0,0
0.026822481925470987,0.0271397439671055,28.0,29,46,0,0
0.023956738383341447,0.024232916192002074,28.0,38,29,0,0
0.02227406387224473,0.022524909080655076,28.0,29,38,0,0
0.008911425342414653,0.008949261398974367,29.0,79,60,2,2
0.03525087447077814,0.035397267335696564,29.0,60,79,2,2
0.12429924195634884,0.12477599598314841,29.0,66,60,2,2
-0.21554992400128245,-0.2164165548233995,29.0,69,66,2,2
0.028519466801795332,0.02864517858815696,29.0,69,69,2,2
0.05862244893793696,0.058869816289792765,29.0,79,69,2,2
0.051395226143118006,0.0516004361365522,29.0,70,79,2,2
0.04474694495631557,0.044917187858196504,29.0,70,70,2,2
0.01659932832558636,0.016704142333804184,30.0,31,31,1,1
0.018307038128287878,0.018420623063050146,30.0,40,31,1,1
0.01435359802092434,0.014442677598138998,31.0,31,41,1,1
-0.026187050704700815,-0.02635054341662374,31.0,48,31,1,1
0.016308161968085072,0.01641048365346609,31.0,40,48,1,1
0.020752863781110353,0.02088066824245044,31.0,41,40,1,1
0.018583133676859848,0.018695333343320686,31.0,49,41,1,1
0.01632996529753454,0.016426844324753886,31.0,49,49,1,1
0.013042907387406474,0.013119150626715648,31.0,40,49,1,1
0.00964118896759264,0.009696907758519224,31.0,30,40,1,1
0.008858097453889213,0.008908816502546546,31.0,31,30,1,1
0.05456488778577451,0.05486754254293569,31.0,31,31,1,1
0.05674175579060531,0.05718435720754045,32.0,23,13,1,1
0.02782461717442475,0.028032582225514968,32.0,23,23,1,1
0.02915732987570474,0.029369090724404245,32.0,13,23,1,1
0.01466723710073975,0.014771432789022487,32.0,23,13,1,1
0.030021366624403745,0.030229898473488392,32.0,22,23,1,1
0.03569280856348306,0.035932671078471645,32.0,13,22,1,1
0.03714025246653463,0.037380859649621734,32.0,12,13,1,1
0.05939000079171855,0.059756542003780666,32.0,5,12,1,1
-0.36912091468545194,-0.47494484542535714,32.0,5,5,0,1
0.04421727103938644,0.044792543974294996,32.0,4,5,0,0
0.005919066190507374,0.00594071499377271,33.0,66,68,2,2
-0.06544363301197091,-0.06569029340387185,33.0,69,66,2,2
0.00028125342710019763,0.000282204523532979,34.0,67,68,2,2
-0.0005019247123176501,-0.0005036222264236958,34.0,59,67,2,2
0.016528519955045548,0.016583972555185865,34.0,76,59,2,2
0.0013539689799573207,0.001358470877434393,34.0,77,76,2,2
-0.01591499880709861,-0.015968304124228058,34.0,57,77,2,2
-0.016030149825752904,-0.016084708246701458,34.0,67,57,2,2
-0.006883073286472601,-0.006910041896362851,35.0,49,30,2,2
-0.0023308108193217,-0.002339985501986594,35.0,31,49,2,2
-0.4931027364280631,-0.640940868276727,35.0,49,31,0,2
2.4818980204344143e-11,2.481881367089045e-11,35.0,40,49,0,0
4.1192715904969646e-11,4.119282692727211e-11,35.0,40,40,0,0
3.166300555079715e-11,3.166300555079715e-11,35.0,31,40,0,0
3.7317426926364305e-11,3.7317482437515537e-11,35.0,31,31,0,0
4.5054737718430715e-11,4.5054737718430715e-11,35.0,31,31,0,0
2.3450186237283788e-11,2.3450019703830094e-11,35.0,40,31,0,0
0.26290491283674167,0.2659345051413495,35.0,50,40,0,0
0.43512750552930846,0.43868591051068007,35.0,31,50,0,0
0.11937818424965299,0.12064535852441557,35.0,40,31,0,0
0.07174760038601213,0.07243883642669832,35.0,40,40,0,0
-0.047268953094177946,-0.052996363497844104,35.0,41,40,0,0
0.07052059471101191,0.07119557410731599,35.0,40,41,0,0
0.08030407203922724,0.0810164105167781,35.0,40,40,0,0
-0.0560360199216674,-0.05652697124975664,35.0,39,40,0,0
0.001243971196588478,0.0007954708340243977,35.0,50,39,0,0
-0.007917011253064488,-0.007988658290567385,35.0,48,50,0,0
0.14341921463630963,0.14463244558192487,35.0,50,48,0,0
-0.2562338450404958,-0.25853274983701396,35.0,48,50,0,0
0.3010040371323935,0.30369767055428304,35.0,31,48,0,0
-0.1551457518576645,-0.15645842809723493,35.0,40,31,0,0
-0.03182652696479421,-0.03211075831578106,35.0,49,40,0,0
0.0935465566345055,0.09435664802293212,35.0,31,49,0,0
-0.11747070999429393,-0.11850055036910268,35.0,32,31,0,0
0.034792192737004124,0.03511002822410786,35.0,41,32,0,0
0.0026986780626188644,0.002734454801468833,36.0,28,28,0,0
0.31671327795101145,0.42205654403754816,36.0,41,28,1,0
0.03743093692869415,0.03766171360814685,36.0,49,41,1,1
0.03760815244526214,0.03783143270723199,36.0,39,49,1,1
0.004008968517978592,0.004032275448932532,36.0,49,39,1,1
0.019816286282031248,0.019930121896961583,36.0,40,49,1,1
0.015353762989604572,0.015440416720797101,36.0,30,40,1,1
0.03600119518886755,0.036199208843269326,36.0,31,30,1,1
0.014469808677359234,0.014547397981915539,36.0,40,31,1,1
0.01312003709468662,0.013189419681230746,36.0,32,40,1,1
0.010392388289638843,0.010446700453909274,36.0,39,32,1,1
0.03543317098848143,0.03561414263738026,36.0,40,39,1,1
-0.04524670153812098,-0.045478945210086816,36.0,40,40,1,1
0.00628747797046779,0.006320385879234308,36.0,50,40,1,1
-0.02509001043169643,-0.02522257879201739,36.0,50,50,1,1
0.0028597340070143813,0.00287501340178839,36.0,40,50,1,1
0.0025373681256269515,0.0025508884073431604,36.0,32,40,1,1
0.001623046868864014,0.0016316771515377804,36.0,40,32,1,1
-0.028878506083767276,-0.029034186543257734,36.0,41,40,1,1
0.007306630118491454,0.0073464474189823825,36.0,50,41,1,1
-0.026587921575724184,-0.026734227161570395,36.0,48,50,1,1
0.00816803255021014,0.008213395798086692,36.0,31,48,1,1
0.37742732957691194,0.476795331716059,37.0,50,32,1,0
0.009890114151951665,0.00994480825208055,37.0,40,50,1,1
-0.008898186516158632,-0.008947370505741348,37.0,40,40,1,1
0.00938456563608489,0.009436425382539082,37.0,41,40,1,1
-0.38780382283941733,-0.48722919483556476,37.0,31,41,0,1
-2.035038804137912e-12,-2.035038804137912e-12,37.0,48,31,0,0
6.464218049728743e-12,6.464273560879974e-12,37.0,41,48,0,0
0.0026936443019823786,0.002727319757089619,37.0,50,41,0,0
0.003917265490060218,0.003966074829605315,37.0,41,50,0,0
-0.0024985904762588884,-0.0025297006857406545,37.0,32,41,0,0
0.011740385620395366,0.011885884928567236,37.0,49,32,0,0
0.011869548263844287,0.012014900869889877,37.0,40,49,0,0
0.012695092423013699,0.012848633936744513,37.0,40,40,0,0
-0.013798582859477104,-0.013965564031115485,37.0,31,40,0,0
0.0036874009535407086,0.0037019964115681814,38.0,48,49,2,2
-0.2310617306980648,-0.27625751456440123,38.0,40,48,1,2
0.05606882811943245,0.05642766644845043,38.0,40,40,1,1
0.022900480432271747,0.02304131785704666,38.0,31,40,1,1
0.043955781336428815,0.04421718397040603,38.0,41,31,1,1
0.02526047072702007,0.025405546066666007,38.0,39,41,1,1
0.030207753080670793,0.030376471552713585,38.0,50,39,1,1
0.006865706495663482,0.006903343805724549,38.0,40,50,1,1
0.038842423876398885,0.039050531196489324,38.0,40,40,1,1
0.039069469258671594,0.03927075435230998,38.0,49,40,1,1
-0.004970120164678286,-0.004995289456449531,38.0,39,49,1,1
0.014336424954935936,0.014408685985504543,38.0,41,39,1,1
0.01553112780029442,0.01570759798955601,39.0,55,64,0,0
0.15918900174879635,0.16084666839025408,39.0,56,55,0,0
-0.1296861045738018,-0.13101608670094034,39.0,55,56,0,0
0.5300790823443402,0.6278504413171154,39.0,73,55,1,0
0.018152215302762842,0.018227130203532657,39.0,74,73,1,1
-0.22065256861635196,-0.31544702922430534,39.0,56,74,0,1
-0.0007749266204403332,-0.000781021105863422,39.0,54,56,0,0
0.24153104649515109,0.33641299169780325,39.0,72,54,1,0
-0.18811563103992066,-0.2825884320129882,39.0,65,72,0,1
0.03020444165295613,0.030426236108527238,39.0,65,65,0,0
0.33002887874659625,0.4253524348923828,39.0,74,65,1,0
